Method,Model,Group,Key,Accuracy
AFTER,SRNet,dataset,COCO,0.6560416666666666
AFTER,SRNet,dataset,Flickr8K,0.71125
AFTER,SRNet,dataset,DeskGPT,0.6670833333333334
AFTER,SRNet,payload,0,0.70875
AFTER,SRNet,payload,1024,0.8720833333333333
AFTER,SRNet,payload,2048,0.6325
AFTER,SRNet,payload,4096,0.4379166666666667
AFTER,SRNet,overall,all,0.678125
AFTER,YeNet,dataset,COCO,0.6404166666666666
AFTER,YeNet,dataset,Flickr8K,0.6958333333333333
AFTER,YeNet,dataset,DeskGPT,0.669375
AFTER,YeNet,payload,0,0.7227777777777777
AFTER,YeNet,payload,1024,0.8529166666666667
AFTER,YeNet,payload,2048,0.6020833333333333
AFTER,YeNet,payload,4096,0.3879166666666667
AFTER,YeNet,overall,all,0.6685416666666667
AFTER,XuNet,dataset,COCO,0.591875
AFTER,XuNet,dataset,Flickr8K,0.5920833333333333
AFTER,XuNet,dataset,DeskGPT,0.5954166666666667
AFTER,XuNet,payload,0,0.6159722222222223
AFTER,XuNet,payload,1024,0.7483333333333333
AFTER,XuNet,payload,2048,0.52625
AFTER,XuNet,payload,4096,0.43625
AFTER,XuNet,overall,all,0.593125
