dataset,sample,payload,attack,mode_used,accuracy,encode_time,decode_time,total_time
COCO,0,1024,clean,robust,1.0,2.3593,2.2652,4.6246
COCO,0,1024,png,robust,1.0,2.3593,2.267,4.6263
COCO,0,1024,jpeg90,robust,1.0,2.3593,2.2711,4.6304
COCO,0,1024,jpeg70,robust,1.0,2.3593,2.2696,4.6289
COCO,0,1024,jpeg50,robust,1.0,2.3593,2.2658,4.6251
COCO,0,1024,resize0.5,robust,1.0,2.3593,2.2745,4.6338
COCO,0,1024,resize0.75,robust,1.0,2.3593,2.2689,4.6282
COCO,0,1024,resize1.25,robust,1.0,2.3593,2.2696,4.6289
COCO,0,1024,resize1.5,robust,1.0,2.3593,2.275,4.6343
COCO,0,1024,gnoise01,robust,1.0,2.3593,2.264,4.6233
COCO,0,1024,gnoise05,robust,1.0,2.3593,2.2642,4.6235
COCO,0,1024,gnoise10,robust,1.0,2.3593,2.2647,4.624
COCO,0,1024,gblur3,robust,1.0,2.3593,2.2644,4.6237
COCO,0,1024,gblur5,robust,1.0,2.3593,2.2778,4.6372
COCO,0,1024,gblur7,robust,0.963867,2.3593,2.271,4.6304
COCO,0,1024,mblur3,robust,1.0,2.3593,2.2661,4.6255
COCO,0,1024,mblur5,robust,1.0,2.3593,2.2684,4.6277
COCO,0,1024,mblur7,robust,0.979492,2.3593,2.2659,4.6252
COCO,1,1024,clean,robust,1.0,2.3121,2.2703,4.5824
COCO,1,1024,png,robust,1.0,2.3121,2.2691,4.5812
COCO,1,1024,jpeg90,robust,1.0,2.3121,2.2654,4.5775
COCO,1,1024,jpeg70,robust,1.0,2.3121,2.2637,4.5758
COCO,1,1024,jpeg50,robust,1.0,2.3121,2.2638,4.5759
COCO,1,1024,resize0.5,robust,1.0,2.3121,2.2664,4.5784
COCO,1,1024,resize0.75,robust,1.0,2.3121,2.269,4.5811
COCO,1,1024,resize1.25,robust,1.0,2.3121,2.2639,4.576
COCO,1,1024,resize1.5,robust,1.0,2.3121,2.2638,4.5759
COCO,1,1024,gnoise01,robust,1.0,2.3121,2.2632,4.5753
COCO,1,1024,gnoise05,robust,1.0,2.3121,2.2644,4.5765
COCO,1,1024,gnoise10,robust,0.969727,2.3121,2.2693,4.5814
