dataset,sample,payload,attack,mode_used,accuracy,encode_time,decode_time,total_time
DeskGPT,0,1024,clean,robust,1.0,2.3432,2.2688,4.612
DeskGPT,0,1024,png,robust,1.0,2.3432,2.2657,4.6089
DeskGPT,0,1024,jpeg90,robust,1.0,2.3432,2.2642,4.6074
DeskGPT,0,1024,jpeg70,robust,1.0,2.3432,2.276,4.6192
DeskGPT,0,1024,jpeg50,robust,0.979492,2.3432,2.2685,4.6117
DeskGPT,0,1024,resize0.5,robust,1.0,2.3432,2.2615,4.6047
DeskGPT,0,1024,resize0.75,robust,1.0,2.3432,2.2605,4.6037
DeskGPT,0,1024,resize1.25,robust,1.0,2.3432,2.2641,4.6073
DeskGPT,0,1024,resize1.5,robust,1.0,2.3432,2.2609,4.6041
DeskGPT,0,1024,gnoise01,robust,1.0,2.3432,2.2663,4.6095
DeskGPT,0,1024,gnoise05,robust,0.982422,2.3432,2.2721,4.6153
DeskGPT,0,1024,gnoise10,robust,0.873047,2.3432,2.2621,4.6053
DeskGPT,0,1024,gblur3,robust,1.0,2.3432,2.2645,4.6077
DeskGPT,0,1024,gblur5,robust,0.982422,2.3432,2.261,4.6042
DeskGPT,0,1024,gblur7,robust,0.929688,2.3432,2.2655,4.6087
DeskGPT,0,1024,mblur3,robust,1.0,2.3432,2.2745,4.6177
DeskGPT,0,1024,mblur5,robust,0.982422,2.3432,2.2685,4.6117
DeskGPT,0,1024,mblur7,robust,0.942383,2.3432,2.2669,4.6101
DeskGPT,1,1024,clean,robust,1.0,2.2929,2.2658,4.5587
DeskGPT,1,1024,png,robust,1.0,2.2929,2.2675,4.5604
DeskGPT,1,1024,jpeg90,robust,1.0,2.2929,2.2748,4.5677
DeskGPT,1,1024,jpeg70,robust,1.0,2.2929,2.2657,4.5586
DeskGPT,1,1024,jpeg50,robust,0.977539,2.2929,2.2647,4.5576
DeskGPT,1,1024,resize0.5,robust,1.0,2.2929,2.2632,4.5562
DeskGPT,1,1024,resize0.75,robust,1.0,2.2929,2.2659,4.5588
