dataset,sample,payload,attack,mode_used,accuracy,encode_time,decode_time,total_time
Flickr8K,0,1024,clean,robust,1.0,2.3394,2.2627,4.6022
Flickr8K,0,1024,png,robust,1.0,2.3394,2.2633,4.6027
Flickr8K,0,1024,jpeg90,robust,1.0,2.3394,2.2625,4.602
Flickr8K,0,1024,jpeg70,robust,1.0,2.3394,2.271,4.6105
Flickr8K,0,1024,jpeg50,robust,1.0,2.3394,2.2663,4.6058
Flickr8K,0,1024,resize0.5,robust,1.0,2.3394,2.264,4.6034
Flickr8K,0,1024,resize0.75,robust,1.0,2.3394,2.2635,4.6029
Flickr8K,0,1024,resize1.25,robust,1.0,2.3394,2.2664,4.6058
Flickr8K,0,1024,resize1.5,robust,1.0,2.3394,2.2681,4.6075
Flickr8K,0,1024,gnoise01,robust,1.0,2.3394,2.2702,4.6097
Flickr8K,0,1024,gnoise05,robust,1.0,2.3394,2.2665,4.6059
Flickr8K,0,1024,gnoise10,robust,0.956055,2.3394,2.2649,4.6044
Flickr8K,0,1024,gblur3,robust,1.0,2.3394,2.2665,4.6059
Flickr8K,0,1024,gblur5,robust,1.0,2.3394,2.2674,4.6068
Flickr8K,0,1024,gblur7,robust,0.945312,2.3394,2.27,4.6094
Flickr8K,0,1024,mblur3,robust,1.0,2.3394,2.2663,4.6058
Flickr8K,0,1024,mblur5,robust,1.0,2.3394,2.2664,4.6059
Flickr8K,0,1024,mblur7,robust,0.966797,2.3394,2.265,4.6044
Flickr8K,1,1024,clean,robust,1.0,2.2956,2.263,4.5586
Flickr8K,1,1024,png,robust,1.0,2.2956,2.2726,4.5682
Flickr8K,1,1024,jpeg90,robust,1.0,2.2956,2.2723,4.5679
Flickr8K,1,1024,jpeg70,robust,1.0,2.2956,2.2689,4.5645
Flickr8K,1,1024,jpeg50,robust,1.0,2.2956,2.2878,4.5834
Flickr8K,1,1024,resize0.5,robust,1.0,2.2956,2.2691,4.5647
Flickr8K,1,1024,resize0.75,robust,1.0,2.2956,2.2659,4.5615
Flickr8K,1,1024,resize1.25,robust,1.0,2.2956,2.2717,4.5673
Flickr8K,1,1024,resize1.5,robust,1.0,2.2956,2.2634,4.559
Flickr8K,1,1024,gnoise01,robust,1.0,2.2956,2.2639,4.5595
Flickr8K,1,1024,gnoise05,robust,1.0,2.2956,2.2657,4.5613
Flickr8K,1,1024,gnoise10,robust,0.93457,2.2956,2.2649,4.5605
Flickr8K,1,1024,gblur3,robust,1.0,2.2956,2.2706,4.5662
Flickr8K,1,1024,gblur5,robust,0.96875,2.2956,2.2684,4.564
Flickr8K,1,1024,gblur7,robust,0.924805,2.2956,2.2673,4.5629
Flickr8K,1,1024,mblur3,robust,1.0,2.2956,2.2639,4.5595
Flickr8K,1,1024,mblur5,robust,0.974609,2.2956,2.2676,4.5632
Flickr8K,1,1024,mblur7,robust,0.928711,2.2956,2.2715,4.5671
Flickr8K,2,1024,clean,robust,1.0,2.2965,2.2687,4.5652
Flickr8K,2,1024,png,robust,1.0,2.2965,2.2666,4.5631
Flickr8K,2,1024,jpeg90,robust,1.0,2.2965,2.2654,4.5619
